BallName,PinName,PinType,Alternate,Remap
M13,PH9,gpio,I2C2_SMBA/TIMER11_CH1/EXMC_D17/DCI_D0/TLI_R3/EVENTOUT,
M14,PD14,gpio,TIMER3_CH2/EXMC_D0/EVENTOUT,
M15,PD13,gpio,TIMER3_CH1/EXMC_A18/EVENTOUT,
N1,VREFN,power,,
N2,PA1,gpio,TIMER1_CH1/TIMER4_CH1/SPI3_MOSI/USART1_RTS/UART3_RX/ENET_MII_RX_CLK/ENET_RMII_REF_CLK/EVENTOUT/ADC012_IN1,
N3,PA0-WKUP,gpio,TIMER1_CH0/TIMER1_ETI/TIMER4_CH0/TIMER7_ETI/USART1_CTS/UART3_TX/ENET_MII_CRS/EVENTOUT/ADC012_IN0/WKUP,
N4,PA4,gpio,SPI0_NSS/SPI2_NSS/I2S2_WS/USART1_CK/USBHS_SOF/DCI_HSYNC/TLI_VSYNC/EVENTOUT/ADC01_IN4/DAC0_OUT0,
N5,PC4,gpio,ENET_MII_RXD0/ENET_RMII_RXD0/EXMC_SDNE0/EVENTOUT/ADC01_IN14,
N6,PF13,gpio,EXMC_A7/EVENTOUT,
N7,PG0,gpio,EXMC_A10/EVENTOUT,
N8,VDD,power,,
N9,VDD,power,,
N10,VDD,power,,
N11,PE13,gpio,TIMER0_CH2/SPI3_MISO/SPI4_MISO/EXMC_D10/TLI_DE/EVENTOUT,
N12,PH7,gpio,I2C2_SCL/SPI4_MISO/ENET_MII_RXD3/EXMC_SDCKE1/DCI_D9/EVENTOUT,
N13,PD12,gpio,TIMER3_CH0/USART2_RTS/EXMC_A17/EXMC_ALE/EVENTOUT,
N14,PD11,gpio,USART2_CTS/EXMC_A16/EXMC_CLE/EVENTOUT,
N15,PD10,gpio,USART2_CK/EXMC_D15/TLI_B3/EVENTOUT,
P1,VREFP,power,,
P2,PA2,gpio,TIMER1_CH2/TIMER4_CH2/TIMER8_CH0/I2S_CKIN/USART1_TX/ENET_MDIO/EVENTOUT/ADC012_IN2,
P3,PA6,gpio,TIMER0_BRKIN/TIMER2_CH0/TIMER7_BRKIN/SPI0_MISO/I2S1_MCK/TIMER12_CH0/SDIO_CMD/DCI_PIXCLK/TLI_G2/EVENTOUT/ADC01_IN6,
P4,PA5,gpio,TIMER1_CH0/TIMER1_ETI/TIMER7_CH0_ON/SPI0_SCK/USBHS_ULPI_CK/EVENTOUT/ADC01_IN5/DAC0_OUT1,
P5,PC5,gpio,USART2_RX/ENET_MII_RXD1/ENET_RMII_RXD1/EXMC_SDCKE0/EVENTOUT/ADC01_IN15,
P6,PF12,gpio,EXMC_A6/EVENTOUT,
P7,PF15,gpio,EXMC_A9/EVENTOUT,
P8,PE8,gpio,TIMER0_CH0_ON/UART6_TX/EXMC_D5/EVENTOUT,
