PadNumber,PinName,PinType,Alternate,Remap
93,PG8,gpio,TIMER7_ETI/TIMER30_CH3/SPI5_NSS/I2S5_WS/USART5_RTS/USART5_DE/RSPDIF_CH2/ETH0_PPS_OUT/EXMC_SDCLK/TLI_G7/EVENTOUT,
94,VSS,ground,,
95,VDD33USB,power,,
96,PC6,gpio,TIMER0_BRKIN1/TIMER2_CH0/TIMER7_CH0/HPDF_CKIN3/I2S1_MCK/USART5_TX/SDIO0_DAT0DIR/EXMC_NWAIT/SDIO1_D6/SDIO0_D6/DCI_D0/TLI_HSYNC/EVENTOUT,
97,PC7,gpio,TIMER0_CH3/TIMER2_CH1/TIMER7_CH1/HPDF_DATAIN3/I2S2_MCK/USART5_RX/SDIO0_DAT123DIR/EXMC_NE0/SDIO1_D7/SDIO0_D7/DCI_D1/TLI_G6/EVENTOUT,
98,PC8,gpio,,
99,PC9,gpio,TRACED1/TIMER2_CH2/TIMER7_CH2/USART5_CK/UART4_RTS/UART4_DE/EXMC_NE1/EXMC_INT/SDIO0_D0/DCI_D2/EVENTOUT/CK_OUT1/TIMER0_MCH3/TIMER2_CH3/TIMER7_CH3/I2C2_SDA/I2S_CKIN/UART4_CTS/OSPIM_P0_IO0/TLI_G3/SDIO0_D1/DCI_D3/TLI_B2,
100,PA8,gpio,CK_OUT0/TIMER0_CH0/TIMER7_BRKIN2/I2C2_SCL/USART0_CK/USBHS0_SOF/UART6_RX/CMP_MUX_OUT1/TLI_B3/TLI_R6/EVENTOUT,
101,PA9,gpio,TIMER0_CH1/I2C2_SMBA/SPI1_SCK/I2S1_CK/USART0_TX/TRIGSEL_IN13/DCI_D0/TLI_R5/EVENTOUT/USBHS0_VBUS,
102,PA10,gpio,TIMER0_CH2/USART0_RX/TRIGSEL_IN12/USBHS0_ID/MDIO/TLI_B4/DCI_D1/TLI_B1/EVENTOUT,
103,USBHS0_DM,gpio,,
104,USBHS0_DP,gpio,,
105,PA13,gpio,,
106,VCORE,power,,
107,VSS,ground,,
108,VDD,power,,
109,PA14,gpio,,
110,PA15,gpio,,
111,PC10,gpio,TIMER0_CH3/HPDF_CKIN5/SPI2_SCK/I2S2_CK/USART2_TX/UART3_TX/OSPIM_P0_IO1,
112,PC11,gpio,TIMER0_ETI/HPDF_DATAIN5/SPI2_MISO/USART2_RX/UART3_RX/OSPIM_P0_CSN/EXMC_NBL2/MDIO_A2/SDIO0_D3/DCI_D4/TLI_B4/EVENTOUT,
113,PC12,gpio,TRACED3/EXMC_D6/TIMER14_CH0/SPI5_SCK/I2S5_CK/SPI2_MOSI/I2S2_SD/USART2_CK/UART4_TX/SDIO0_CK/DCI_D9/TLI_R6/EVENTOUT,
114,PD0,gpio,TIMER7_CH2/HPDF_CKIN6/UART3_RX/CAN0_RX/EXMC_D2/TRIGSEL_IN3/TLI_B1/EVENTOUT,
115,PD1,gpio,HPDF_DATAIN6/UART3_TX/CAN0_TX/EXMC_D3/TRIGSEL_IN6/EVENTOUT,
116,PD2,gpio,TRACED2/EXMC_D7/TIMER2_ETI/TIMER14_BRKIN0/UART4_RX/TLI_B7/SDIO0_CMD/DCI_D11/TLI_B2/EVENTOUT,
117,PD3,gpio,HPDF_CKOUT/SPI1_SCK/I2S1_CK/USART1_CTS/EXMC_CLK/DCI_D5/TLI_G7/EVENTOUT,
118,PD4,gpio,TIMER7_MCH3/USART1_RTS/USART1_DE/OSPIM_P0_IO4/EXMC_NOE/EVENTOUT,
119,PD5,gpio,TIMER7_CH3/USART1_TX/OSPIM_P0_IO5/EXMC_NWE/EVENTOUT,
120,VSS,ground,,
121,VDD,power,,
